Product_Name,Product_Price,Product_MRP_Price,Ratings,Review_Count,Screen Resolution,Screen_Size,Brand_Name,Refresh_Rate,Monitor_Category,Model_Number
"Philips 271V8/94 27""(68.58 cm) 1920 x 1080 Pixels IPS Panel Smart Image LCD Monitor with LED Backlight, VGA & HDMI Connectivity, FHD, 4ms Response time, 75Hz Refresh Rate, Flicker Free, Black","9,600","M.R.P: ₹22,990₹22,990",4.3 out of 5 stars,691,Display Resolution Maximum 1920 x 1080 (Full HD),Screen Size 27 Inches,Brand Philips Monitors,Refresh Rate 75,Generic Name Monitor,Item model number 271V8/94
"Philips 276E8VJSB 27""(68.5cm) 3840 x 2160 Pixels 4K UHD IPS LED Computer Monitor, 1 Billion+ Colors, Ultra Narrow Borders, Low Blue, Multi-View, (Black, Gunmetal, 276E8VJSB/94)","21,000","M.R.P: ₹53,990₹53,990",4.1 out of 5 stars,76,Display Resolution Maximum 3840 x 2160 Pixels,Screen Size 27 Inches,Brand Philips Monitors,Refresh Rate 60 Hz,Generic Name Monitor,Item model number 276E8VJSB/94
"Philips 2560 x 1440 Pixels 32 inches LCD Monitor with LED Back Lights, with Quad HD Picture Quality 1.07 Billion Colors, Black (325E8/94)","20,160","M.R.P: ₹41,990₹41,990",3.5 out of 5 stars,21,Display Resolution Maximum 2560 x 1440 Pixels,Screen Size 31.5 Inches,Brand Philips Monitors,Refresh Rate 75 Hz,Generic Name Monitor,Item model number 325E8/94
"Samsung 24-inch (60.46cm) FHD Flat 1,920 x 1,080 Monitor, IPS, 75 Hz, Bezel Less Design, AMD FreeSync, Flicker Free, HDMI, D-sub, (LS24C310EAWXXL, Black)","7,899","M.R.P: ₹17,000₹17,000",4.3 out of 5 stars,"4,774","Display Resolution Maximum 1,920 x 1,080 Pixels",Screen Size 24 Inches,Brand Samsung,Refresh Rate 75 Hz,Generic Name Monitor,Item model number LS24C310EAWXXL
"Acer EK240Y E 23.8 Inch IPS Full HD 1920x1080 Backlit LED LCD Monitor I 1 MS VRB, 100Hz Refresh I 250 Nits I Zero Frame I HDMI & VGA Ports with HDMI Cable I AMD Free Sync I Eye Care Features (Black)","6,656","M.R.P: ₹9,499₹9,499",4.3 out of 5 stars,"2,081",Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 23.8 Inches,Brand Acer,"Special Feature IPS Panel, Blue Light Filter, 100Hz Refresh Rate, 1 MS VRB, Tilt Adjustment",Generic Name Monitor,Item model number UM.QE1SI.E02
"LG Ultragear IPS Gaming Monitor 60 cm (24 Inches), FHD 1920 x 1080, 1ms, 144Hz, AMD FreeSync Compatible, HDR 10, sRGB 99% (Typ.), DP, HDMI, Height, Tilt & Pivot Adjust Stand, 24GN65R (Black)","11,999","M.R.P: ₹23,000₹23,000",4.5 out of 5 stars,365,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 60.45 Inches,Brand LG,Refresh Rate 144 Hz,Generic Name Monitor,Item model number 24GN65R-B
"ZEBRONICS Zeb-V19Hd 18.5 Inch (46.99 Cm) Led Monitor with Supporting Hdmi, Vga Input, Hd 1366 X 768 Pixels, 16.7M Colors, Glossy Panel, Slim Design & Wall Mountable, Black","3,099","M.R.P: ₹6,999₹6,999",3.6 out of 5 stars,"3,277",Display Resolution Maximum 1366 x 768 Pixels,Screen Size 46.9 Centimetres,Brand ZEBRONICS,Refresh Rate 60 Hz,"Generic Name Zebronics ZEB-V19HD LED Monitor 18.5inch With Supporting HDMI, VGA Input, HD 1366 x 768, 16.7M Colors, Glossy Panel, Slim Design & Wall Mountable.",Item model number ZEB-V19HD LED
"Samsung 24-Inch(59.8cm) FHD, 75 Hz, 1800R Curved 1,920 X 1,080 LED Monitor, VA Panel, Slim Design, AMD Freesync, Game Mode, Flicker Free, HDMI, Audio Port (LS24C360EAWXXL, Black)","7,699","M.R.P: ₹16,500₹16,500",4.2 out of 5 stars,504,"Display Resolution Maximum 1,920 x 1,080 Pixels",Screen Size 24 Inches,Brand Samsung,Refresh Rate 75 Hz,Generic Name Monitor,Item model number LS24C360EAWXXL
"OnePlus 24 in Full Hd LCD Monitor Led Backlit IPS Panel with 3-Side Bezel Less,USB Type-C Connectivity with 18W Charging,8 Mm Slim,Flicker Free Monitor (Response Time: 5 Ms,75 Hz Refresh Rate),Black","6,870","M.R.P: ₹19,999₹19,999",3.6 out of 5 stars,154,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 24 Inches,Brand OnePlus,Refresh Rate 75 Hz,Generic Name Monitor,Item model number E 24
"FRONTECH 20 Inch HD LED Monitor | Refresh Rate 60 Hz, 1600 x 900 Pixels | Wall Mountable Slim & Stylish Design with 16.7M Colors | HDMI & VGA Ports, Built-in Power Supply (MON-0054,Black)","3,154","M.R.P: ₹8,000₹8,000",3.4 out of 5 stars,"1,244",Display Resolution Maximum 1600 x 900 Pixels,Screen Size 20 Inches,Brand FRONTECH,Refresh Rate 60 Hz,Generic Name LED Monitor,Item model number 20 inch
